"STATEFIP","perc_su_18","stname","stusps"
"1",0.145805670545965,"Alabama","AL"
"4",0.225534205620784,"Arizona","AZ"
"5",0.0323282768934941,"Arkansas","AR"
"6",0.178191103543182,"California","CA"
"8",0.00281639620849193,"Colorado","CO"
"9",0.296092477673582,"Connecticut","CT"
"10",0.840024269390232,"Delaware","DE"
"11",0.102392449517121,"District of Columbia","DC"
"12",0.125412148300119,"Florida","FL"
"15",0.313411952828303,"Hawaii","HI"
"16",0.144335446823784,"Idaho","ID"
"17",0.0770373259721552,"Illinois","IL"
"18",0.166150978836172,"Indiana","IN"
"19",0.0983749412454379,"Iowa","IA"
"21",0.20383942383283,"Kentucky","KY"
"22",0.157004034201913,"Louisiana","LA"
"24",0.248655228107957,"Maryland","MD"
"25",0.996020164499867,"Massachusetts","MA"
"26",0.735252400270744,"Michigan","MI"
"27",0.292205221522282,"Minnesota","MN"
"28",NA,"Mississippi","MS"
"29",0.423693543954246,"Missouri","MO"
"30",0.299920697858842,"Montana","MT"
"31",0.00428291238041884,"Nebraska","NE"
"32",0.147288006111536,"Nevada","NV"
"34",0.0860442929829882,"New Jersey","NJ"
"35",0.20556109241955,"New Mexico","NM"
"36",0.452553988503167,"New York","NY"
"37",NA,"North Carolina","NC"
"38",0.25667099379778,"North Dakota","ND"
"39",0.231222697459855,"Ohio","OH"
"40",0.12026789484538,"Oklahoma","OK"
"41",0.321523196010183,"Oregon","OR"
"42",0.11776908833345,"Pennsylvania","PA"
"44",0.374123687588455,"Rhode Island","RI"
"45",0.160828975135335,"South Carolina","SC"
"46",0.179997542695662,"South Dakota","SD"
"47",0.27907787843988,"Tennessee","TN"
"48",0.166618351934507,"Texas","TX"
"49",0.0912737320616817,"Utah","UT"
"50",NA,"Vermont","VT"
"51",0.326512376016444,"Virginia","VA"
"53",0.122024454114079,"Washington","WA"
"54",0.148186938049598,"West Virginia","WV"
"55",0.066635764752154,"Wisconsin","WI"
"56",0.107960137795275,"Wyoming","WY"
"72",0.512679917751884,NA,NA
"99",0.377551020408164,NA,NA
"2",NA,"Alaska","AK"
"13",NA,"Georgia","GA"
"20",NA,"Kansas","KS"
"23",NA,"Maine","ME"
"33",NA,"New Hampshire","NH"
